ts,potus
2018-06-10 00:08:13,1
2018-06-09 21:11:37,1
2018-06-09 21:11:35,1
2018-06-09 21:11:13,1
2018-06-09 21:11:07,1
2018-06-09 16:03:34,1
2018-06-09 14:13:25,1
2018-06-09 13:48:25,1
2018-06-09 04:23:57,1
2018-06-09 04:23:04,1
2018-06-08 21:47:36,1
2018-06-08 21:47:29,1
2018-06-08 17:49:44,1
2018-06-08 17:26:44,1
2018-06-08 16:43:02,1
2018-06-08 16:05:31,1
2018-06-08 15:23:15,1
2018-06-08 15:08:05,1
2018-06-08 13:25:34,1
2018-06-08 11:22:08,1
2018-06-08 11:22:05,1
2018-06-07 23:57:03,1
2018-06-07 23:56:50,1
2018-06-07 22:04:14,1
2018-06-07 20:59:13,1
2018-06-07 20:15:00,1
2018-06-07 20:03:11,1
2018-06-07 19:59:09,1
2018-06-07 19:54:27,1
2018-06-07 19:53:07,1
2018-06-07 19:52:52,1
2018-06-07 19:34:50,1
2018-06-07 19:32:33,1
2018-06-07 18:16:03,1
2018-06-07 17:44:41,1
2018-06-07 17:42:56,1
2018-06-07 17:22:06,1
2018-06-07 16:41:43,1
2018-06-07 16:38:45,1
2018-06-07 16:38:43,1
2018-06-07 16:38:32,1
2018-06-07 15:54:53,1
2018-06-07 15:54:52,1
2018-06-07 15:34:51,1
2018-06-07 15:34:49,1
2018-06-07 14:46:54,1
2018-06-07 14:01:54,1
2018-06-07 12:44:24,1
2018-06-06 23:33:28,1
2018-06-06 22:46:14,1
2018-06-06 22:42:15,1
2018-06-06 22:41:10,1
2018-06-06 22:15:28,1
2018-06-06 22:14:52,1
2018-06-06 21:55:17,1
2018-06-06 20:36:07,1
2018-06-06 20:10:13,1
2018-06-06 19:38:45,1
2018-06-06 18:45:22,1
2018-06-06 18:32:34,1
2018-06-06 18:32:31,1
2018-06-06 17:49:06,1
2018-06-06 17:43:34,1
2018-06-06 17:23:09,1
2018-06-06 16:59:22,1
2018-06-06 16:16:40,1
2018-06-06 15:41:51,1
2018-06-06 15:41:39,1
2018-06-06 15:07:33,1
2018-06-06 15:07:29,1
2018-06-06 14:02:34,1
2018-06-06 13:49:26,1
2018-06-06 13:38:36,1
2018-06-06 01:29:44,1
2018-06-06 01:26:10,1
2018-06-05 23:06:07,1
2018-06-05 22:06:49,1
2018-06-05 21:09:55,1
2018-06-05 20:51:35,1
2018-06-05 20:42:23,1
2018-06-05 20:40:54,1
2018-06-05 20:08:49,1
2018-06-05 20:08:40,1
2018-06-05 19:53:10,1
2018-06-05 19:40:29,1
2018-06-05 19:40:25,1
2018-06-05 18:04:46,1
2018-06-05 17:42:02,1
2018-06-05 17:41:53,1
2018-06-05 17:12:51,1
2018-06-05 16:53:21,1
2018-06-05 16:31:30,1
2018-06-05 16:16:07,1
2018-06-05 15:35:58,1
2018-06-05 11:51:46,1
2018-06-05 11:47:04,1
2018-06-05 01:44:09,1
2018-06-05 01:44:07,1
2018-06-05 01:00:28,1
2018-06-05 00:50:14,1
2018-06-05 00:01:14,1
2018-06-04 23:24:54,1
2018-06-04 23:11:32,1
2018-06-04 22:50:16,1
2018-06-04 22:38:15,1
2018-06-04 22:30:22,1
2018-06-04 22:25:25,1
2018-06-04 22:23:30,1
2018-06-04 22:23:16,1
2018-06-04 22:22:31,1
2018-06-04 22:21:29,1
2018-06-04 22:00:20,1
2018-06-04 21:49:36,1
2018-06-04 21:28:55,1
2018-06-04 21:07:27,1
2018-06-04 20:49:32,1
2018-06-04 20:49:26,1
2018-06-04 20:49:22,1
2018-06-04 20:44:23,1
2018-06-04 20:43:13,1
2018-06-04 19:48:29,1
2018-06-04 19:27:41,1
2018-06-04 19:06:59,1
2018-06-04 18:54:38,1
2018-06-04 18:43:32,1
2018-06-04 17:57:16,1
2018-06-04 17:34:10,1
2018-06-04 17:06:51,1
2018-06-04 17:06:49,1
2018-06-04 16:27:31,1
2018-06-04 16:17:29,1
2018-06-04 15:59:31,1
2018-06-04 15:59:29,1
2018-06-04 15:23:19,1
2018-06-04 15:12:43,1
2018-06-04 14:46:47,1
2018-06-04 14:46:45,1
2018-06-04 14:36:01,1
2018-06-04 13:48:59,1
2018-06-04 12:46:24,1
2018-06-04 12:42:46,1
2018-06-04 12:36:19,1
2018-06-04 12:21:37,1
2018-06-04 12:21:31,1
2018-06-04 11:43:46,1
2018-06-03 16:25:59,1
2018-06-03 15:01:43,1
2018-06-02 22:47:29,1
2018-06-02 22:47:10,1
2018-06-02 21:11:31,1
2018-06-02 18:00:20,1
2018-06-02 16:29:36,1
2018-06-02 16:02:37,1
2018-06-02 14:00:43,1
2018-06-01 22:08:21,1
2018-06-01 21:41:59,1
2018-06-01 21:27:53,1
2018-06-01 21:27:51,1
2018-06-01 19:12:21,1
2018-06-01 19:12:19,1
2018-06-01 19:07:01,1
